elapsed_time,n_trial,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
4044.1540169716,1651,0.0807070732,RRTConnectkConfigDefault,1,0.7294819355,0.0807070732,1.7029350654,6.8932233604,1,"{'default': 1.7000000000000002, 'type': 'geometric::RRTConnect'}"
4046.4381780624,1652,0.1924409866,RRTConnectkConfigDefault,1,0.8182737827,0.1924409866,1.7029912775,7.1805044589,1,"{'default': 1.3, 'type': 'geometric::RRTConnect'}"
4048.6120250225,1653,0.0940570831,RRTConnectkConfigDefault,1,0.7068550587,0.0940570831,1.7026608652,7.1424829305,1,"{'default': 1.4000000000000001, 'type': 'geometric::RRTConnect'}"
4051.6066610813,1654,0.1739470959,RRTConnectkConfigDefault,1,1.3512911797,0.1739470959,1.7027797831,9.8172837175,1,"{'default': 1.5, 'type': 'geometric::RRTConnect'}"
4054.1905350685,1655,0.1304180622,RRTConnectkConfigDefault,1,1.1837329865,0.1304180622,1.7027489065,9.8383562423,1,"{'default': 1.3, 'type': 'geometric::RRTConnect'}"
4056.9101700783,1656,0.2867839336,RRTConnectkConfigDefault,1,1.0215699673,0.2867839336,1.702934293,8.0752742596,1,"{'default': 1.6, 'type': 'geometric::RRTConnect'}"
4059.3291480541,1657,0.1392869949,RRTConnectkConfigDefault,1,0.8658528328,0.1392869949,1.7026755889,8.3933373163,1,"{'default': 1.4000000000000001, 'type': 'geometric::RRTConnect'}"
4061.4510889053,1658,0.2208080292,RRTConnectkConfigDefault,1,0.7032179832,0.2208080292,1.702999008,6.9185805531,1,"{'default': 1.5, 'type': 'geometric::RRTConnect'}"
4063.6524078846,1659,0.0770218372,RRTConnectkConfigDefault,1,0.9116199017,0.0770218372,1.7029261908,9.3386928737,1,"{'default': 1.3, 'type': 'geometric::RRTConnect'}"
4065.8913738728,1660,0.2041268349,RRTConnectkConfigDefault,1,0.8345119953,0.2041268349,1.7027840238,8.7522590154,1,"{'default': 1.6, 'type': 'geometric::RRTConnect'}"
4067.789785862,1661,0.1646740437,RRTConnectkConfigDefault,1,0.7336709499,0.1646740437,1.7026697822,7.1656863261,1,"{'default': 1.5, 'type': 'geometric::RRTConnect'}"
4070.2912828922,1662,0.2532160282,RRTConnectkConfigDefault,1,0.8014540672,0.2532160282,1.7029520515,7.2327076622,1,"{'default': 1.7000000000000002, 'type': 'geometric::RRTConnect'}"
4072.6867308617,1663,0.2266168594,RRTConnectkConfigDefault,1,0.7866330147,0.2266168594,1.7027910114,7.9339553821,1,"{'default': 1.2000000000000002, 'type': 'geometric::RRTConnect'}"
4075.2061049938,1664,0.1785931587,RRTConnectkConfigDefault,1,1.0197148323,0.1785931587,1.7028809832,9.8146901376,1,"{'default': 1.4000000000000001, 'type': 'geometric::RRTConnect'}"
4077.0184738636,1665,0.0588700771,RRTConnectkConfigDefault,1,0.7192771435,0.0588700771,1.7028010268,7.2644290517,1,"{'default': 1.4000000000000001, 'type': 'geometric::RRTConnect'}"
4079.3417720795,1666,0.199131012,RRTConnectkConfigDefault,1,0.8788740635,0.199131012,1.7028652129,8.2681829178,1,"{'default': 1.3, 'type': 'geometric::RRTConnect'}"
4081.7455499172,1667,0.0831990242,RRTConnectkConfigDefault,1,0.9103150368,0.0831990242,1.7027702556,9.2386540965,1,"{'default': 1.3, 'type': 'geometric::RRTConnect'}"
4084.0551400185,1668,0.0840969086,RRTConnectkConfigDefault,1,0.8808419704,0.0840969086,1.7029153172,8.7914325377,1,"{'default': 1.3, 'type': 'geometric::RRTConnect'}"
