Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
17,17,1,83.137007,0,1.7976931348623157E308,-1,0.0,0.0,1,83.137007,2,0.0,SAT,,0.043,
18,18,1,80.491768,0,1.7976931348623157E308,-1,0.0,0.0,1,80.491768,2,0.0,SAT,,0.036,
19,19,1,74.33592,0,1.7976931348623157E308,-1,0.0,0.0,1,74.33592,2,0.0,SAT,,0.053,
20,20,1,23.779977,0,1.7976931348623157E308,-1,0.0,0.0,1,23.779977,2,0.0,SAT,,0.036,
21,21,1,18.692284,0,1.7976931348623157E308,-1,0.0,0.0,1,18.692284,2,0.0,SAT,,0.041,
22,22,1,139.169064,0,1.7976931348623157E308,-1,0.0,0.0,1,139.169064,2,0.0,SAT,,0.053,
23,23,1,50.076516,0,1.7976931348623157E308,-1,0.0,0.0,1,50.076516,3,0.0,SAT,,0.044,
24,24,1,8.141987,0,1.7976931348623157E308,-1,0.0,0.0,1,8.141987,3,0.0,SAT,,0.065,
25,25,1,31.7603,0,1.7976931348623157E308,-1,0.0,0.0,1,31.7603,3,0.0,SAT,,0.08,
26,26,1,95.999231,0,1.7976931348623157E308,-1,0.0,0.0,1,95.999231,3,0.0,SAT,,0.063,
27,27,1,47.717878,0,1.7976931348623157E308,-1,0.0,0.0,1,47.717878,3,0.0,SAT,,0.092,
28,28,1,9.210581,0,1.7976931348623157E308,-1,0.0,0.0,1,9.210581,3,0.0,SAT,,0.069,
29,29,1,50.29038,0,1.7976931348623157E308,-1,0.0,0.0,1,50.29038,3,0.0,SAT,,0.059,
30,30,1,81.165364,0,1.7976931348623157E308,-1,0.0,0.0,1,81.165364,3,0.0,SAT,,0.028,
31,31,1,26.027598,0,1.7976931348623157E308,-1,0.0,0.0,1,26.027598,3,0.0,SAT,,0.077,
32,32,1,22.115758,0,1.7976931348623157E308,-1,0.0,0.0,1,22.115758,3,0.0,SAT,,0.104,
33,33,1,12.635338,0,1.7976931348623157E308,-1,0.0,0.0,1,12.635338,4,0.0,SAT,,0.053,
34,34,1,68.023888,0,1.7976931348623157E308,-1,0.0,0.0,1,68.023888,4,0.0,SAT,,0.064,
35,35,1,14.957932,0,1.7976931348623157E308,-1,0.0,0.0,1,14.957932,4,0.0,SAT,,0.091,
36,36,1,13.671861,0,1.7976931348623157E308,-1,0.0,0.0,1,13.671861,4,0.0,SAT,,0.054,
37,37,1,9.725707,0,1.7976931348623157E308,-1,0.0,0.0,1,9.725707,4,0.0,SAT,,0.09,
38,38,1,27.542458,0,1.7976931348623157E308,-1,0.0,0.0,1,27.542458,4,0.0,SAT,,0.105,
39,39,1,12.211474,0,1.7976931348623157E308,-1,0.0,0.0,1,12.211474,4,0.0,SAT,,0.058,
40,40,1,62.780291,0,1.7976931348623157E308,-1,0.0,0.0,1,62.780291,4,0.0,SAT,,0.105,
41,41,1,15.149031,0,1.7976931348623157E308,-1,0.0,0.0,1,15.149031,4,0.0,SAT,,0.052,
42,42,1,98.156339,0,1.7976931348623157E308,-1,0.0,0.0,1,98.156339,4,0.0,SAT,,0.042,
43,43,1,17.095017,0,1.7976931348623157E308,-1,0.0,0.0,1,17.095017,4,0.0,SAT,,0.042,
44,44,1,1.353015,0,1.7976931348623157E308,-1,0.0,0.0,1,1.353015,5,0.0,SAT,,0.043,
45,45,1,45.65632,0,1.7976931348623157E308,-1,0.0,0.0,1,45.65632,5,0.0,SAT,,0.035,
46,46,1,2.025266,0,1.7976931348623157E308,-1,0.0,0.0,1,2.025266,5,0.0,SAT,,0.037,
